"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年10月1日","13.80","14.14","14.20","13.74","2.10M","-2.27%"
"2019年9月30日","14.12","14.47","14.55","14.07","1.44M","-1.47%"
"2019年9月27日","14.33","15.05","15.29","14.05","3.48M","-4.59%"
"2019年9月26日","15.02","14.94","15.13","14.81","1.82M","0.87%"
"2019年9月25日","14.89","14.52","14.95","14.41","2.74M","1.99%"
"2019年9月24日","14.60","15.10","15.19","14.45","3.47M","-3.31%"
"2019年9月23日","15.10","15.24","15.33","14.97","1.56M","-1.05%"
"2019年9月20日","15.26","15.09","15.48","15.03","2.82M","1.06%"
"2019年9月19日","15.10","15.24","15.43","15.10","1.79M","-0.72%"
"2019年9月18日","15.21","15.24","15.35","14.96","1.91M","-0.20%"
"2019年9月17日","15.24","14.91","15.30","14.83","1.72M","1.60%"
"2019年9月16日","15.00","14.90","15.20","14.87","2.29M","-0.40%"
"2019年9月13日","15.06","15.20","15.28","14.94","1.69M","-0.53%"
"2019年9月12日","15.14","15.30","15.36","14.91","3.55M","-0.46%"
"2019年9月11日","15.21","14.98","15.28","14.80","4.43M","2.29%"
"2019年9月10日","14.87","14.27","14.90","14.16","3.98M","3.70%"
"2019年9月9日","14.34","14.48","14.52","14.24","1.60M","-0.83%"
"2019年9月6日","14.46","14.70","14.89","14.36","3.31M","-0.89%"
"2019年9月5日","14.59","14.00","14.65","14.00","7.93M","5.95%"
"2019年9月4日","13.77","14.32","14.32","13.70","4.56M","-2.75%"
"2019年9月3日","14.16","13.81","14.44","13.81","2.76M","0.78%"
"2019年8月30日","14.05","13.75","14.25","13.75","2.27M","2.55%"
"2019年8月29日","13.70","13.75","14.02","13.58","2.74M","1.26%"
"2019年8月28日","13.53","13.81","13.86","13.36","4.26M","-2.80%"
"2019年8月27日","13.92","14.31","14.90","13.85","6.02M","-4.00%"
"2019年8月26日","14.50","15.12","15.15","14.00","7.95M","-1.36%"
"2019年8月23日","14.70","14.58","15.34","14.58","4.22M","0.00%"
"2019年8月22日","14.70","14.56","14.74","14.35","2.95M","2.01%"
"2019年8月21日","14.41","14.50","14.54","14.32","1.43M","0.70%"
"2019年8月20日","14.31","14.42","14.58","14.21","1.70M","-1.31%"
"2019年8月19日","14.50","14.85","15.01","14.40","3.14M","-0.14%"
"2019年8月16日","14.52","14.29","14.78","14.28","2.51M","3.64%"
"2019年8月15日","14.01","13.92","14.13","13.90","1.03M","1.45%"
"2019年8月14日","13.81","13.70","13.96","13.55","2.01M","-1.43%"
"2019年8月13日","14.01","13.88","14.07","13.73","4.26M","1.23%"
"2019年8月12日","13.84","13.75","14.01","13.70","1.69M","-0.50%"
